"The ACL, one of two ligaments that cross in the middle of the knee, connects your thighbone (femur) to your shinbone (tibia) and helps stabilize your knee joint",ACL injury
"Most ACL injuries happen during sports and fitness activities that can put stress on the knee: Suddenly slowing down and changing direction (cutting) Pivoting with your foot firmly planted Landing from a jump incorrectly Stopping suddenly Receiving a direct blow to the knee or collision, such as a football tackle When the ligament is damaged, there is usually a partial or complete tear across the tissue",ACL injury
A mild injury may overextend the ligament but leave it intact,ACL injury
Arthritis may occur even if you have surgery to reconstruct the ligament,ACL injury
"Multiple factors likely influence the risk of arthritis, such as the severity of the original injury, the presence of related injuries in the knee joint or the level of activity after treatment",ACL injury
Allergic reactions can range from mild to severe,Allergy
"In some severe cases, allergies can trigger a life-threatening reaction known as anaphylaxis",Allergy
"Hay fever, also called allergic rhinitis, may cause: Sneezing Itching of the nose, eyes or roof of the mouth Runny, stuffy nose Watery, red or swollen eyes (conjunctivitis) A food allergy may cause: Tingling mouth Swelling of the lips, tongue, face or throat Hives Anaphylaxis An insect sting allergy may cause: A large area of swelling (edema) at the sting site Itching or hives all over the body Cough, chest tightness, wheezing or shortness of breath Anaphylaxis A drug allergy may cause: Hives Itchy skin Rash Facial swelling Wheezing Anaphylaxis Atopic dermatitis, an allergic skin condition also called eczema, may cause skin to: Itch Redden Flake or peel Anaphylaxis Some types of allergies, including allergies to foods and insect stings, have the potential to trigger a severe reaction known as anaphylaxis",Allergy
"A life-threatening medical emergency, anaphylaxis can cause you to go into shock",Allergy
"If you have symptoms after starting a new medication, call the doctor who prescribed it right away",Allergy
"For a severe allergic reaction (anaphylaxis), call 911 or your local emergency number or seek emergency medical help",Allergy
"If you carry an epinephrine auto-injector (such as EpiPen, others), give yourself a shot right away",Allergy
"Even if your symptoms improve after an epinephrine injection, you should go to the emergency department to make sure symptoms don't return when the effects of the injection wear off",Allergy
"If you've had a severe allergy attack or any signs and symptoms of anaphylaxis in the past, make an appointment to see your doctor",Allergy
"Evaluation, diagnosis and long-term management of anaphylaxis are complicated, so you'll probably need to see a doctor who specializes in allergies and immunology",Allergy
The immune system then produces antibodies that remain on the alert for that particular allergen,Allergy
"When you're exposed to the allergen again, these antibodies can release a number of immune system chemicals, such as histamine, that cause allergy symptoms",Allergy
"You're at increased risk of allergies if you have family members with asthma or allergies such as hay fever, hives or eczema",Allergy
But some people's immune systems overreact to substances that don't normally cause an allergic reaction,Anaphylaxis
"Allergy symptoms aren't usually life-threatening, but a severe allergic reaction can lead to anaphylaxis",Anaphylaxis
"Even if you or your child has had only a mild anaphylactic reaction in the past, there's a risk of more severe anaphylaxis after another exposure to the allergy-causing substance",Anaphylaxis
"The most common anaphylaxis triggers in children are food allergies, such as to peanuts, and tree nuts, fish, shellfish and milk",Anaphylaxis
"Besides allergy to peanuts, nuts, fish and shellfish, anaphylaxis triggers in adults include: Certain medications, including antibiotics, aspirin and other over-the-counter pain relievers, and the intravenous (IV) contrast used in some imaging tests Stings from bees, yellow jackets, wasps, hornets and fire ants Latex Although not common, some people develop anaphylaxis from aerobic exercise, such as jogging, or even less intense physical activity, such as walking",Anaphylaxis
"Eating certain foods before exercise or exercising when the weather is hot, cold or humid also has been linked to anaphylaxis in some people",Anaphylaxis
Talk with your doctor about precautions to take when exercising,Anaphylaxis
"If you don't know what triggers your allergy attack, certain tests can help identify the allergen",Anaphylaxis
"In some cases, the cause of anaphylaxis is never identified (idiopathic anaphylaxis)",Anaphylaxis
"If you've had anaphylaxis once, your risk of having this serious reaction increases",Anaphylaxis
Future reactions might be more severe than the first reaction,Anaphylaxis
Allergies or asthma,Anaphylaxis
People who have either condition are at increased risk of having anaphylaxis,Anaphylaxis
Certain other conditions,Anaphylaxis
These include heart disease and an abnormal accumulation of a certain type of white blood cell (mastocytosis),Anaphylaxis
Lingering lung inflammation means your asthma could flare up at any time,Asthma attack
Go to all scheduled doctor's appointments,Asthma attack
