"Sometimes, people with the condition don't even know they have a bundle branch block",Bundle branch block
"If you have heart disease, or if your doctor has already diagnosed you as having bundle branch block, ask your doctor how often you should have follow-up visits",Bundle branch block
"You might want to carry a medical alert card that identifies you as having bundle branch block in case you're seen in an emergency by a doctor who isn't familiar with your medical history",Bundle branch block
"They are: Thick, discolored discharge from the nose or drainage down the back of the throat (postnasal drainage) Nasal obstruction or congestion, causing difficulty breathing through your nose Pain, tenderness and swelling around your eyes, cheeks, nose or forehead Reduced sense of smell and taste in adults or cough in children Other signs and symptoms can include: Ear pain Aching in your upper jaw and teeth Cough that might worsen at night Sore throat Bad breath (halitosis) Fatigue or irritability Nausea Chronic sinusitis and acute sinusitis have similar signs and symptoms, but acute sinusitis is a temporary infection of the sinuses often associated with a cold",Chronic sinusitis
"The signs and symptoms of chronic sinusitis last longer and often cause more fatigue",Chronic sinusitis
"Fever isn't a common sign of chronic sinusitis, but you might have one with acute sinusitis",Chronic sinusitis
"You may be referred to an allergist or an ear, nose and throat specialist for evaluation and treatment",Chronic sinusitis
"These tissue growths can block the nasal passages or sinuses",Chronic sinusitis
"Deviated nasal septum",Chronic sinusitis
"A crooked septum — the wall between the nostrils — may restrict or block sinus passages",Chronic sinusitis
"Other medical conditions",Chronic sinusitis
"The complications of cystic fibrosis, gastroesophageal reflux, or HIV and other immune system-related diseases can result in nasal blockage",Chronic sinusitis
"Respiratory tract infections",Chronic sinusitis
"Infections in your respiratory tract — most commonly colds — can inflame and thicken your sinus membranes and block mucus drainage",Chronic sinusitis
"These infections can be viral, bacterial or fungal",Chronic sinusitis
"Allergies such as hay fever",Chronic sinusitis
"Inflammation that occurs with allergies can block your sinuses",Chronic sinusitis
"Because a number of conditions can cause similar symptoms, it's important to get a prompt and accurate diagnosis",Exercise-induced asthma
"Get emergency medical treatment if you have worsening symptoms: Shortness of breath or wheezing that is quickly getting worse No improvement even after using a prescription inhaler for asthma attacks  ",Exercise-induced asthma
"There might be no other obvious signs or symptoms",Low sperm count
"In some cases, an underlying problem such as an inherited chromosomal abnormality, a hormonal imbalance, dilated testicular veins or a condition that blocks the passage of sperm may cause signs and symptoms",Low sperm count
"Because symptoms usually improve with rest, your muscle weakness may come and go",Myasthenia gravis
"However, myasthenia gravis symptoms tend to progress over time, usually reaching their worst within a few years after the onset of the disease",Myasthenia gravis
"Although myasthenia gravis can affect any of the muscles that you control voluntarily, certain muscle groups are more commonly affected than others",Myasthenia gravis
"Eye muscles In more than half the people who develop myasthenia gravis, their first signs and symptoms involve eye problems, such as: Drooping of one or both eyelids (ptosis)",Myasthenia gravis
"Double vision (diplopia), which may be horizontal or vertical, and improves or resolves when one eye is closed",Myasthenia gravis
"Face and throat muscles In about 15 percent of people with myasthenia gravis, the first symptoms involve face and throat muscles, which can cause: Altered speaking",Myasthenia gravis
"Your speech may sound very soft or nasal, depending upon which muscles have been affected",Myasthenia gravis
"Difficulty swallowing",Myasthenia gravis
"You may choke very easily, which makes it difficult to eat, drink or take pills",Myasthenia gravis
"In some cases, liquids you're trying to swallow may come out your nose",Myasthenia gravis
"Problems chewing",Myasthenia gravis
"The muscles used for chewing may wear out halfway through a meal, particularly if you've been eating something hard to chew, such as steak",Myasthenia gravis
"Limited facial expressions",Myasthenia gravis
"Your family members may comment that you've lost your smile if the muscles that control your facial expressions have been affected",Myasthenia gravis
"Neck and limb muscles Myasthenia gravis can cause weakness in your neck, arms and legs, but this usually happens along with muscle weakness in other parts of your body, such as your eyes, face or throat",Myasthenia gravis
"The disorder usually affects arms more often than legs",Myasthenia gravis
"However, if it affects your legs, you may waddle when you walk",Myasthenia gravis
"If your neck is weak, it may be hard to hold up your head",Myasthenia gravis
"In myasthenia gravis, your immune system produces antibodies that block or destroy many of your muscles' receptor sites for a neurotransmitter called acetylcholine (as-uh-teel-KOH-leen)",Myasthenia gravis
"With fewer receptor sites available, your muscles receive fewer nerve signals, resulting in weakness",Myasthenia gravis
